,GSEGSE59847
0,"{'id': '200066260', 'Accession': 'GSE66260', 'GPL': '17586', 'suppFile': 'CEL', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66260/'}"
1,"{'id': '200045602', 'Accession': 'GSE45602', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45602/'}"
2,"{'id': '200037064', 'Accession': 'GSE37064', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37064/'}"
3,"{'id': '200030751', 'Accession': 'GSE30751', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30751/'}"
4,"{'id': '100013939', 'Accession': 'GPL13939', 'GPL': '13939', 'suppFile': '', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL13nnn/GPL13939/'}"
5,"{'id': '300762998', 'Accession': 'GSM762998', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762998/'}"
6,"{'id': '300762997', 'Accession': 'GSM762997', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762997/'}"
7,"{'id': '300762996', 'Accession': 'GSM762996', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762996/'}"
8,"{'id': '300762995', 'Accession': 'GSM762995', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762995/'}"
9,"{'id': '300762994', 'Accession': 'GSM762994', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762994/'}"
10,"{'id': '300762993', 'Accession': 'GSM762993', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762993/'}"
11,"{'id': '300762992', 'Accession': 'GSM762992', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762992/'}"
12,"{'id': '300762991', 'Accession': 'GSM762991', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762991/'}"
13,"{'id': '300762990', 'Accession': 'GSM762990', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762990/'}"
14,"{'id': '300762989', 'Accession': 'GSM762989', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762989/'}"
15,"{'id': '300762988', 'Accession': 'GSM762988', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762988/'}"
16,"{'id': '300762987', 'Accession': 'GSM762987', 'GPL': '13939', 'suppFile': 'GPR', 'FTPLink': 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762987/'}"
